Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2,0,260.2,3122.40,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (c5.large)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,37.35,448.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,1177,14124.00,USD,S3 Standard storage (50000 GB per month)
My Estimate,US East (N. Virginia),,S3 One Zone - Infrequent Access,0,1003,12036.00,USD,S3 One Zone-IA storage (100000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (0 TB per month), DT Outbound: Amazon CloudFront (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,3147.2799999999997,37767.36,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5000 GB), Quantity (1), Instance type (db.m5.4xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,80.85,970.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,269.91,3238.92,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (3000 GB per month), DT Intra-Region: (0 TB per month), Data transfer cost (269.91)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,680.64,8167.68,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage amount (300 GB), Instance type (m5.xlarge)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,12.5,150.00,USD,Hosted Zones (1)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
